Dia,Mes,ALT
27;5;En la imagen vemos a Philip, vestido con camisa, corbata y tirantes, y apoyado encima de varios libros de economía. Es un señor de edad avanzada, está calvo y lleva gafas. La foto está enmarcada por un cuadrado amarillo donde vemos iconos de una moneda, ordenadores y sitio web.
28;5;La imagen muestra a Ruby Violet en su juventud. Lleva gafas y tiene el pelo de color rubio. La foto está enmarcada por un triángulo amarillo con ilustraciones de la Tierra y el Sol.
29;5;La imagen incluye un retrato de Ebenezer al final de su vida. Está calvo y tiene una larga barba blanca. Está enmarcado por un decágono amarillo punteado y a su lado se muestran unas tijeras de sastre y una bobina de hilo.
30;5;La imagen muestra el logo del día Mundial de la Esclerosis múltiple. El logo está formado por un círculo central blanco con el que se entrecruzan otros cinco círculos azules de forma irregular, haciedo la forma de una flor con cinco pétalos.
31;5;La imagen muestra una foto de medio cuerpo de Konstantin con edad avanzada. Lleva barba blanca y corta. Con la mano derecha escribe en un cuaderno y con la izquierda sujeta una antigua trompetilla para poder escuchar, pues estaba casi completamente sordo desde la infancia.
1;6;En la imagen se ven dos páginas de una revista. Insertadas entre abundante texto de pequeño formato se incluyen dos grandes imágenes en blanco y negro mostrando como manipular a una persona que se ahoga.
2;6;En la imagen se aprecia un antiguo vagón de tren, en blanco y negro, conectado al tendido electrico en su parte superior.
3;6;La imagen recoge un detalle de un retrato de Vicente Tofiño, ataviado con la túnica larga, las ropas y la peluca blanca corta típica de la época del final del siglo XVIII.
4;6;En la imagen se aprecia una fotografía en blanco y negro de un pequeño avión al que se dirigen algunas personas. Se incluye sobre la misma un esquemático dibujo del globo terráqueo centrado en el oceáno atlántico, simbolizando la unión por aire de los continentes.
5;6;La imagen se muestra el logotipo de AMIT (Asociación de mujeres investigadoras y tecnólogas). Destacando sus letras verdes mayúsculas, con un lazo que sale de la letra A y se torna en rojo. Se observa una llama, tambien roja, que corona la letra I. 
6;6;La imagen recrea un paquete de detergente PERSIL, que aparece como un prisma alargado en verde con letras e indicaciones en colores claros y a veces inscritos sobre figuras de fondo rojizo.
7;6;En la imagen vemos una fotografía de medio cuerpo del ingeniero Henri Coanda. Aparece sonrriente, elegantemente vestido con traje, corbata y pañuelo. Es un hombre delgado, calvo y cano, aunque ya se le muestra en edad avanzada. Se complementa la imagen con el símbolo simple de la planta de un moderno avión.
8;6;La imagen se encierra en hexágono que se ha rellenado con una representación colorista de un fondo marino; donde se ven peces, algas y otras variedades propias del fondo marino. La luz se cuela tenue desde la superficie bañando la escena con sus débiles rayos.
9;6;En la imagen se ve una forografia de medio cuerpo del astrónomo Johann Gottfried. Aparece con traje y corbatón oscuro tipico del principio de siglo XIX. Se observa un hombre maduro, ya con escaso pelo y se muestra serio con la mirada al horizonte.  Se superpone sobre un fondo donde se esquematizan estrellas y planetas.
10;6;La imagen muestra una televisión antigua, con su pantalla en blanco y negro encendida. Cuenta con los tradicionales botones y ruletas reguladoras en un lateral. La televisión está rematada para dar el aspecto de un mueble de madera, y cuenta con cuatro patas.
11;6;En la imagen se ve a un veterano Jacques Cosuteau en blanco y negro que sonríe alegremente, pero muestra una mirada cansada. Se ha hecho destacar el típico gorro de marinero con color rojo que tapa su pelo cano. Se superpone a una representación símbolica simple consistente en ondas marinas, y a un globo terráqueo sujetado por una mano representando su amor por el medio ambiente y la divulgación marina.
12;6;La imagen muestra a un joven Blake Ross. Es un chico moreno, con pelo corto, y mira al frente con media sonrisa. Viste con camisa de rayas sobre una camiseta interior y está con sus manos unidas apoyado sobre una mesa.
13;6;En la imagen se ve a Wallace Clement a una joven edad, con el pelo corto ondulado y elegantemente vestido con traje y camisa en cuello ópera. Mira intensamente a su izquierda y se muestra regio y firme. De fondo se representa una clave de sol musical y una pequeña captura del escenario de un teatro.
14;6;En la imagen aparece Nicolas Achúcarro mirando fija y seriamente a la cámara. Aparece como un hombre de mediana edad, moreno, con un grueso bigote y perilla de barbilla. Se viste con traje y corbata en cuello ópera.
15;6;En la imagen se aprecia el rostro de un joven no identificado moreno de mirada inteligente, vestido de modo juvenil con camiseta de cuello de pico y chaqueta. En la parte superior se representa una silueta de un bebe gateando.
16;6;La imagen nos muestra un primer plano de la cosmonauta rusa Valentina Tereshkova, sonriendo a través de su enorme y grueso casco espacial con las siglas CCCP. La imagen destaca sobre un fondo acorde al viaje espacial.
17;6;En al imagen se ve a Sunita Willians: una joven mujer morena, de pelo largo vestida con un enorme traje de astronauta blanco. Se ha retirado el casco y lo sostiene entre sus manos mientras nos sonríe. Una simbología de fondo acerca de estrellas y cohetes nos sugieren el espacio exterior.
18;6;En la imagen se ve a un hombre ya maduro de larga barba blanca y ropajes renacentistas con un gorro de la época. Al fondo se muestra lo que parece ser una carátula de su obra y sus trabajos sobre música.
